name,price,status,shipping,free_returns,items_sold
"Adult Tricycle 26/24/20/16/14"" Bike 7Speed Trike 3Wheel Bicycle+Shopping Basket",19500,Brand New,0,False,7
"27.5"" Full Suspension Mountain Bike Shimano 21 Speed Men's Bikes Bicycle  MTB",29900,Brand New,0,True,
Vilano Blackjack 3.0 29er Mountain Bike MTB with 29-Inch Wheels,39900,Brand New,0,False,
Road Bike Shimano 21 Speed Bicycle 700C Mens Bikes 54cm Daul Disc Brakes Bikes,27900,Brand New,0,False,453
Redline Conquest 24 Youth Kids Road Cross CX Bike,37500,Pre-Owned,8000,False,
26'' Folding Mountain Bike Shimanos 21 Speed Bicycle Full Suspension MTB Bikes,21988,Brand New,5999,False,103
"26"" 36V 350W Litium Electric Bike Bicycle eBike LED 7 speed Removable Battery",65500,Brand New,0,True,
New Listing,135000,Pre-Owned,8500,False,
New Listing,26598,Brand New,0,False,
New Listing,90000,Pre-Owned,5379,False,
New Listing,6000,Pre-Owned,,False,
Vilano R2 Commuter Aluminum Road Bike 21 Speed 700c,32900,Brand New,0,False,31
RECUMBENT BICYCLE,49900,Pre-Owned,,False,
"Elite 20"" BMX Stealth Bicycle Freestyle Bike 1 Piece Crank Black NEW 2021",26900,Brand New,0,True,231
Foldable Adult Tricycle Folding Adult Trike 26'' 7 Speed Green Bikes w/Basket,25598,Brand New,0,True,37
"Elite 20"" BMX Destro Bicycle Freestyle Bike 3 Piece Crank White Chrome New 2021",34900,Brand New,0,True,78
"Elite 20"" BMX Stealth Bicycle Freestyle Bike 1 Piece Crank Black Green NEW 2021",26900,Brand New,0,True,85
New Listing,110000,Pre-Owned,15000,False,
"26in 4""W Fat Tire Mountain Bike 21 Speed Bicycle High-Tensile Steel Frame MTB 🚴",32550,Brand New,1000,False,56
"Hyper Bicycles Men's 26"" Beach Cruiser Bike, Black",11856,Brand New,0,False,31
"Folding Mountain Bike Full Suspension 21 Speed Mens Women Bikes MTB 26"" Bicycle",21897,Brand New,0,True,
New Listing,116000,Pre-Owned,8500,False,
26'' Folding Mountain Bike Shimanos 21 Speed Bicycles Full Suspension MTB Bikes*,16998,Brand New,6000,False,33
New Listing,5500,Pre-Owned,1595,False,
New Listing,140000,Pre-Owned,0,False,
New Listing,57000,Brand New,5500,False,
New Listing,90000,Pre-Owned,7990,False,
New Listing,51000,New (Other),15000,False,
"Elite 20"" BMX Stealth Bicycle Freestyle Bike 1 Piece Crank White NEW 2021",26900,Brand New,0,True,140
"26"" Folding Mountain Bike Shimano 21 Speed Bicycle Full suspension MTB School",27900,Brand New,0,True,53
2018 Raleigh Preston bicycle,15000,Pre-Owned,,False,
AONE 700C Road Bike 21 Speed Racing Bicycle 53/56cm Alloy Frame NEW,28999,Brand New,0,False,
New Listing,89999,Pre-Owned,,False,
"Kink BMX Curb 2022 (Matte Midnight Black) 20"" Beginner BMX Bicycle",36995,Brand New,0,False,9
New Listing,279995,Pre-Owned,10000,False,
New Listing,19998,Brand New,1000,False,8
New Listing,165000,Pre-Owned,0,False,
"27.5"" Full Suspension Mountain Bike Shimano 21 Speed Mens Bikes  ",29800,Brand New,0,False,311
"Mountain Bike 27.5"" wheels Full Suspension Bicycle Shimano 21 Speed Mens bikes L",34900,Brand New,0,True,
"Adult 20/24/26"" Tricycle 7Speed 3Wheel Bike Cruiser Trike w/Basket Cargo Bicycle",25800,Brand New,0,True,
orbea mountain bike,32500,Pre-Owned,8500,False,
New Listing,85000,Pre-Owned,9768,False,
26in Folding Mountain Bike Full Suspension MTB Bikes 21 Speed Bicycle Mens Bikes,20388,Brand New,5999,False,18
New Listing,90000,Brand New,,False,
Specialized Daily 3 Step Through Bicycle,80000,Pre-Owned,,False,
New Listing,11900,Brand New,0,False,
"20"" Chrome Cruiser Lowrider Bike 68 Spokes Coaster Brake Prince New",36999,Brand New,7998,False,23
New Listing,300000,Pre-Owned,32910,False,
New Listing,85999,Brand New,0,True,
New Listing,20908,Brand New,1998,False,
New Listing,40600,Pre-Owned,,False,
2021 KHS Salire Dirt Jumper ,55000,Brand New,10000,False,
New Listing,150000,Pre-Owned,0,False,
