name,price,status,shipping,free_returns,items_sold
Samsung Galaxy Note 8 64GB GSM Unlocked AT&T T-Mobile Very Good Condition,19995,Very Good - Refurbished,0,True,
New Other Samsung Galaxy Note 9 N960U GSM Unlocked T-Mobile Verizon Boost AT&T,26999,Open Box,0,True,65
Samsung Galaxy Note 9 | Unlocked SM-N960 | 128GB - Ocean Blue,22499,Pre-Owned,0,True,101
OB Samsung Galaxy Note 10+ Plus (SM-N975U) 256/512 GB Black GSM+CDMA Unlocked,35899,Open Box,0,True,
Samsung Galaxy Note 10+ Plus SMN975U 256GB Factory Unlocked Smartphone Open Box,42900,Open Box,0,True,85
Samsung Galaxy Note 9 128GB N960U Unlocked Black Smartphone AT&T T-Mobile Sprint,18524,Pre-Owned,699,False,143
NEW UNLOCKED Samsung Galaxy Note 10+ PLUS SM-N975U 256GB UNLOCKED GSM+CDMA,52988,Brand New,0,True,695
Samsung Galaxy Note 10 Plus N975U 256GB Factory Unlocked Smartphone - Very Good,37999,Very Good - Refurbished,0,False,
Samsung N960 Galaxy Note 9 128GB Factory Unlocked Smartphone - Very Good,21495,Very Good - Refurbished,0,False,
Samsung Galaxy Note 10 Plus N975U 256GB Factory Unlocked Smartphone - Excellent,39999,Excellent - Refurbished,0,False,
Samsung N975 Galaxy Note 10+ Plus 256GB Unlocked Smartphone - Very Good,37995,Very Good - Refurbished,0,False,
Samsung N960 Galaxy Note 9 128GB Unlocked 4G LTE Android Smartphone,19995,Good - Refurbished,0,False,
Samsung Galaxy Note9 N960U 128GB Factory Unlocked Smartphone - Good,19999,Good - Refurbished,0,False,
Samsung Galaxy Note 9 N960U Factory GSM Unlocked AT&T T-Mobile ALL GB Good,17995,Good - Refurbished,0,False,
Samsung Galaxy Note 9 N960U Tello USCellular Straight Talk Total Boost Excellent,23999,Excellent - Refurbished,0,False,
Samsung Galaxy Note 9 | Unlocked SM-N960 | 128GB - Lavender Purple,19900,Pre-Owned,0,True,
Samsung Galaxy Note9 SM-N960 - 512GB - Midnight Black (Unlocked) Pristine,29999,Open Box,0,True,153
NEW UNLOCKED Samsung Galaxy Note 10 SM-N970U 256GB BLACK N970U UNLOCKED GSM+CDMA,39988,Brand New,0,True,690
New Samsung Galaxy NOTE 9 N960U 128GB Fact Unlocked T-Mobile AT&T Verizon,30799,Brand New,0,True,314
UNUSED Factory Unlocked Samsung Galaxy NOTE 9 128GB Verizon T-Mobile Cricket ATT,31595,Brand New,0,True,
New Listing,8900,Pre-Owned,875,True,
Samsung Galaxy Note 8 - 64GB Black Gray Unlocked AT&T Verizon T-Mobile Metro ,17495,Open Box,0,True,107
Samsung Galaxy Note 9 Unlocked AT&T Verizon T-Mobile Sprint SM-N960U Used Note9,19989,Pre-Owned,0,False,139
Samsung Galaxy Note8 AT&T VERIZON TMOBILE STRAIGHT TALK BOOST UNLOCKED VERY GOOD,21900,Very Good - Refurbished,0,True,
UNUSED Factory Unlocked Samsung Galaxy NOTE 9 128GB Verizon T-Mobile AT&T Metro,32900,Brand New,0,True,
NEW Samsung Galaxy NOTE9 128GB SM-N960U Ocean Blue GSM Unlocked  AT&T T-Mobile  ,30400,Brand New,0,True,210
Samsung Galaxy Note 9 N960U Tello USCellular Straight Talk Total Boost Excellent,23999,Excellent - Refurbished,0,True,
Samsung Galaxy Note10 SM-N970U 256GB Smartphone  Factory Unlocked Open Box,34900,Open Box,0,True,
Samsung N960 Galaxy Note 9 128GB Factory Unlocked Smartphone - Very Good,21495,Very Good - Refurbished,0,True,
NEW Samsung Galaxy Note 9 SM-N960U 128GB Fully Unlocked Verizon√ AT&T√ T-Mobile,28599,Brand New,0,False,21
New Listing,17000,Pre-Owned,1595,False,
Samsung Galaxy Note 10 Plus N975U 256GB Factory Unlocked Smartphone - Very Good,37999,Very Good - Refurbished,0,True,
New in Box Samsung Galaxy Note 9 SM-N960U Blue GSM Unlocked For ATT and T-Mobile,30699,Brand New,0,True,
New in Box Samsung Galaxy Note 9 SM-N960U Purple GSM Unlocked For AT&T & TMobile,30699,Brand New,0,True,209
Samsung Galaxy Note 8 N950U 64GB Factory Unlocked Smartphone,13999,Pre-Owned,0,True,743
Samsung Galaxy Note9 SM-N960U - 128GB - Lavender Purple (Unlocked) (Single SIM),23900,Pre-Owned,0,True,116
Open Box Samsung Galaxy Note 10 (SM-N970U) 256GB Black White Network Locked,30399,Open Box,0,True,
New* Other Samsung Galaxy Note 9 N960U GSM Unlocked T-Mobile Verizon 128GB SR,23995,Open Box,0,True,20
Samsung Galaxy NOTE 9 Verizon T-mobile AT&T Straight Talk Unlocked Boost (N),25900,Open Box,0,True,89
NEW* | Samsung Galaxy Note 10+ Plus 5G | 256GB Aura Glow | Verizon ONLY,44999,Open Box,0,True,137
"Samsung Galaxy Note 8 64GB Unlocked Orchid Gray, Midnight Black",17499,Pre-Owned,0,True,237
🔥NEW Samsung Galaxy Note 9 SM-N960U Unlocked 128GB T-Mobile AT&T Verizon Mobile,29099,Brand New,0,False,54
Samsung Galaxy Note 8 - N950U - 64GB - Black/Gray - Unlocked - Screen Burn,11800,Pre-Owned,0,True,32
Samsung Galaxy Note 10+ Plus N975U N975U1 AT&T T-Mob Sprint Verizon - Acceptable,27900,Pre-Owned,0,True,
Samsung Galaxy Note 9 SM-N960U (128GB) (Unlocked),14999,Pre-Owned,0,False,
New Samsung Galaxy NOTE 10+ Plus N975U 256GB AT&T T-Mobile Verizon Unlocked,54499,Brand New,0,True,223
Samsung Galaxy Note 5 32GB N920A GSM Unlocked T-Mobile AT&T Metro Cricket,9495,Open Box,0,True,15
New Samsung Galaxy Note 9 SM-N960U Midnight Black 128GB T-Mobile AT&T Unlocked,29898,Brand New,0,True,
New Listing,87399,Pre-Owned,1289,False,
New Listing,47500,Pre-Owned,0,False,
Samsung Galaxy Note 9 Note9 SM-N960U 128GB Factory Unlocked Great Condition Read,17989,Pre-Owned,0,True,5
💥💥New Samsung Galaxy Note 10 SM-N970U1 256 GB Factory Unlocked Smartphones 💥,41999,Brand New,0,False,160
New Listing,54700,Pre-Owned,0,False,
Samsung Galaxy Note 10 Plus N975U 256GB Factory Unlocked Smartphone - Excellent,39999,Excellent - Refurbished,0,True,
Samsung Galaxy Note10 SM-N970U - 256GB - Aura Black (Verizon) (Single SIM),15750,Pre-Owned,1595,False,
NEW UNLOCKED Samsung Galaxy Note 8 SM-N950U 64GB BLACK N950U T-MOBILE AT&T,27499,Brand New,0,True,162
🚀🚀New Samsung Galaxy Note 10+ PLUS SM-N975U1 256 GB FACTORY UNLOCKED PHONE🚀🚀,54599,Brand New,0,True,176
Samsung Galaxy Note 8 N950U 64GB Factory Unlocked (CDMA + GSM) - Orchid Gray,17499,Pre-Owned,0,True,28
Samsung Galaxy NOTE 9 128GB SM-N960U1 (Factory Unlocked) * NEW IN Box,28799,Brand New,0,False,21
NEW Samsung Galaxy Note 9 N960U 128GB Factory Unlocked GSM AT&T T-Mobile Verizon,29488,Brand New,0,True,100
Samsung N960 Galaxy Note 9 128GB Unlocked 4G LTE Android Smartphone,19995,Good - Refurbished,0,True,
New in Box Samsung Galaxy Note 9 SM-N960U Black GSM Unlocked For ATT and TMobile,30699,Brand New,0,True,122
