name,price,status,shipping,free_returns,items_sold
Kahuna Creations Land Paddle Sticks for Longboards | Stand Up Paddle Board (SUP),2200,Brand New,0,True,29
"ROBBI Blank Complete Skateboard Stained BLACK 7.75"" Skateboards, Ready to ride",3999,Brand New,0,True,1123
ELEMENT Skateboards SECTION Complete SKATEBOARD Black Raw Trucks 52mm Wheels,7995,Brand New,0,True,276
"31""x 8"" Kids Trick Complete Skateboard Double Kick Concave Skateboards Gift Fun",3799,Brand New,0,False,12
Complete Skateboard Double Kick Deck Concave With White Wheels 31''x 8'' - INK,1998,Brand New,599,False,
"31x8"" Trick Board Complete Skateboard Deck Double Kick Concave Skateboards 9 ply",3359,Brand New,0,True,
CHECKER SKATEBOARD New PRO COMPLETE Checkers ABEC 5,4995,Brand New,0,True,1896
Recondition 8.0 Inch Complete Skateboard Great Deal,3499,New (Other),0,False,11
"31x8"" Pro Skateboard Complete 7 Layer Maple Wood Double Kick Concave Skateboards",3302,Brand New,999,True,
New Listing,4999,Brand New,0,False,11
NPET PRO NEW Skateboard Complete 31 x 8 Concave Double Kick Maple Deck Flame S..,9214,Brand New,0,True,
NPET PRO NEW Skateboard Complete 31 x 8 Concave Double Kick Maple Deck American.,8356,Brand New,0,True,
New Listing,8000,Pre-Owned,1275,False,
🛹31''x8'' Skateboard Bearing 7-Layer Maple Double Kick Deck Concave Boys&Girls,3999,Brand New,0,False,11
"Moose Skateboards Old School 10"" x 30"" Black Blank Skateboard Deck with Grip",3495,Brand New,0,True,240
31 inches Complete Skateboards for Teens Layer Maple Wood Skateboard 7 Types,1599,Brand New,0,False,12
"31""x 8"" Complete PRO Skateboard 9-Layer Canadian Maple Wood Double Kick Tricks",3999,Brand New,0,False,
Skateboards for Beginners Kids Girls Youths 22 Inch Complete Cruiser Skateboard%,2999,Brand New,0,False,
2 Naked Blank Skateboard Decks 8.0,3197,Brand New,0,True,534
"Pro Natural Blank Skateboard Deck,7.5""; 7.75""; 8.0""; or 8.25""; 8.5"" for choices",1049,Brand New,1118,True,899
"22"" Complete Skateboard Mini Cruiser Skateboards for Kids Beginners + LED Wheels",1998,Brand New,0,False,
"PRO Skateboard Complete Pre-Built CHECKER PATTERN Black/Pink 7.75""",4495,Brand New,0,True,245
"Complete Skateboard for Beginners 22 x 6"" Mini Cruiser Skateboard w/ PU Wheel US",3599,Brand New,0,False,
"Powell Peralta Skateboard Complete Skull and Sword Pink/Green 8.0"" x 31.45""",8495,Brand New,0,True,16
🛹31''x8'' Skateboard Bearing 7-Layer Maple Double Kick Deck Concave Youth Hot🛹,3999,Brand New,0,False,11
"Moose Skateboards Old School 10"" x 30"" Natural Blank Skateboard Deck with Grip",3495,Brand New,0,True,636
SUPERIOR SKATEBOARDS “NIGHTCRAWL”sz. 8.0 (BARELY USED) COMPLETE!!!,3200,Pre-Owned,1000,False,
New Listing,3499,Pre-Owned,0,True,
Complete Skateboard Double Kick Deck Concave for Teens Adults Kids 31''x 8'' ,3599,Brand New,0,False,
"Wood 31""x8"" Skateboards Complete Double Kick Deck Concave Gift for Kids Teens",4199,Brand New,0,False,3
Darkstar Skateboard Red & Black Complete USED GOOD,4999,Pre-Owned,2258,False,
"31""x 8"" Trick Complete Skateboard Double Kick Concave Skateboards for Beginners",2599,Brand New,699,False,10
Complete Skateboard Double Kick Deck Concave Cruiser Trick Skateboards 31''x 8'',5642,Brand New,0,False,
31''x 8'' Kids Trick Complete Skateboard Double Kick Deck Concave for Beginners,2599,Brand New,699,False,
"Graffiti Culture Complete Skateboard 31""x 8"" Double Kick Concave Skateboards`QZ",4999,Brand New,0,False,
2 Blank Skateboard Decks - 7.75,3197,Brand New,0,True,167
"Moose Skateboards Old School 10"" x 33"" Natural Blank Skateboard Deck with Grip",3495,Brand New,0,True,297
Skateboards 22'' Complete Skateboard Deck Mini Cruiser Penny Style Board Youths,999,Brand New,0,False,
"🔥Graffiti Culture Complete Skateboard 31""x 8"" Double Kick Concave Skateboards-E",4999,Brand New,0,False,12
"Santa Cruz Skateboard Complete Classic Dot White 8.0"" x 31.62""",8995,Brand New,0,True,152
RudeBoyz 17 Inch Mini Wooden Cruiser Beginner Skateboard for Toddlers & Children,2500,Brand New,0,False,29
